name,reason,value
"Yellow Cab Pizza","invalid latitude","latitude="14.577705354186536,""
"Yellow Cab Pizza","invalid latitude","latitude="14.5871798799469,""
"Yellow Cab Pizza","invalid latitude","latitude="14.576145783568942,""
"Yellow Cab Pizza","invalid latitude","latitude="14.578811389780071,""
"Greenwich Pizza","invalid latitude","latitude="14.561914515852175,""
"Greenwich Pizza","invalid latitude","latitude="14.5655117081164,""
"Greenwich Pizza","invalid latitude","latitude="14.589985812191419,""
"Greenwich Pizza","invalid latitude","latitude="14.58769762125669,""
"Greenwich Pizza","invalid latitude","latitude="14.590220966600198,""
"Greenwich Pizza","invalid latitude","latitude="14.619867396602714,""
"Turks","invalid latitude","latitude="14.577662734463484,""
"Turks","invalid latitude","latitude="14.562676445631455,""
"Turks","invalid latitude","latitude="14.619817400337508,""
"Turks","invalid latitude","latitude="14.580398409337748,""
"Dunkin Donut","invalid latitude","latitude="14.56373674902471,""
"Dunkin Donut","invalid latitude","latitude="14.566255497906738,""
"Dunkin Donut","invalid latitude","latitude="14.583110809765751,""
"Dunkin Donut","invalid latitude","latitude="14.575940330439337,""
"Dunkin Donut","invalid latitude","latitude="14.573426540643668,""
"Dunkin Donut","invalid latitude","latitude="14.55229933491637,""
"Dunkin Donut","invalid latitude","latitude="14.570074401397436,""
"Dunkin Donut","invalid latitude","latitude="14.575499019804079,""
"Dunkin Donut","invalid latitude","latitude="14.58149819588655,""
"Dunkin Donut","invalid latitude","latitude="14.58018679372226,""
"Dunkin Donut","invalid latitude","latitude="14.589553703072767,""
"Dunkin Donut","invalid latitude","latitude="14.58713970321865,""
"Dunkin Donut","invalid latitude","latitude="14.609802104106922,""
"Dunkin Donut","invalid latitude","latitude="14.585290292760146,""
"Dunkin Donut","invalid latitude","latitude="14.587904401042962,""
"Dunkin Donut","invalid latitude","latitude="14.57805073627506,""
"Dunkin Donut","invalid latitude","latitude="14.619788028509443,""
"Dunkin Donut","invalid latitude","latitude="14.609840711905804,""
"Dunkin Donut","invalid latitude","latitude="14.619708221035316,""
"Dunkin Donut","invalid latitude","latitude="14.587397005329588,""
"Dunkin Donut","invalid latitude","latitude="14.620194166183408,""
"Goldilocks","invalid latitude","latitude="14.555088200189815,""
"Goldilocks","invalid latitude","latitude="14.558958807931676,""
"Goldilocks","invalid latitude","latitude="14.561377609548671,""
"Goldilocks","invalid latitude","latitude="14.568317908711236,""
"Goldilocks","invalid latitude","latitude="14.544696083435191,""
"Goldilocks","invalid latitude","latitude="14.590469472519583,""
"Goldilocks","invalid latitude","latitude="14.586621454310908,""
"Goldilocks","invalid latitude","latitude="14.563207802679557,""
"Goldilocks","invalid latitude","latitude="14.559590010769949,""
"Goldilocks","invalid latitude","latitude="14.566224047475457,""
"Goldilocks","invalid latitude","latitude="14.60919325075756,""
"Goldilocks","invalid latitude","latitude="14.588056506563388,""
"Goldilocks","invalid latitude","latitude="14.590232792168386,""
"Potato Corner","invalid latitude","latitude="14.567782179408123,""
"Potato Corner","invalid latitude","latitude="14.556797506996451,""
"Potato Corner","invalid latitude","latitude="14.573631563791857,""
"Potato Corner","invalid latitude","latitude="14.566329302472836,""
"Potato Corner","invalid latitude","latitude="14.573528759152644,""
