name,latitude,longitude,category,landmark,barangay,city,province
Mcdo,15.816576133741211,120.9893229705111,food,"24 Del pilar st.","Rafael Rueda, Sr. Pob. (District I)","SAN JOSE CITY","NUEVA ECIJA"
shakeys,"16.157540065393775, ",119.97741330792776,food,csi,Poblacion,"CITY OF ALAMINOS",PANGASINAN
"Mang Inasal",15.800999879415269,120.99407556239636,food,Waltermart,Malasin,"SAN JOSE CITY","NUEVA ECIJA"
Greenwich,15.804657163481885,120.99128591695434,food,"National highway","Rafael Rueda, Sr. Pob. (District I)","SAN JOSE CITY","NUEVA ECIJA"
KFC,15.804150954630606,120.99337483963524,food,Waltermart,Malasin,"SAN JOSE CITY","NUEVA ECIJA"
"Max Restaurant",15.774270911833133,120.96366346654034,food,"Near Petron Caanawan",Caanawan,"SAN JOSE CITY","NUEVA ECIJA"
Andoks,15.792803514189805,120.9900404384193,food,"Maharlika Hi way","Rafael Rueda, Sr. Pob. (District I)","SAN JOSE CITY","NUEVA ECIJA"
Chowking,15.793121473117811,120.99011660679355,food,"Maharlika hi way","Rafael Rueda, Sr. Pob. (District I)","SAN JOSE CITY","NUEVA ECIJA"
"Dunkin Donut",15.793843412657976,120.9894723622139,food,"maharlika hi way","Rafael Rueda, Sr. Pob. (District I)","SAN JOSE CITY","NUEVA ECIJA"
Goldilocks,15.792914996421887,120.99006282213828,food,"Maharlika hiway","Rafael Rueda, Sr. Pob. (District I)","SAN JOSE CITY","NUEVA ECIJA"
"Chooks to Go",15.794660196811835,120.9894487776616,food,"Maharlika hi way","Rafael Rueda, Sr. Pob. (District I)","SAN JOSE CITY","NUEVA ECIJA"
"Jollibee Waltermart",15.797504477303448,120.99411267417965,food,Waltermart,Malasin,"SAN JOSE CITY","NUEVA ECIJA"
Jollibee,10.753441055385224,122.53829353010178,food,"gt mall pavia","Ungka II",PAVIA,ILOILO
Jollibee,10.714185716453251,122.55115753611292,food,"SM CITY ILOILO",Bolilao,"ILOILO CITY (Capital)",ILOILO
"JOLLIBEE STO. TOMAS",14.110858313692212,121.14442215340696,food,"Maharlika Highway cor Gen, Gov. Malvar St, Poblacion, Santo Tomas, Batangas","Barangay I (Pob.)","SANTO TOMAS",BATANGAS
Jollibee,10.69725050363212,122.54299300727672,food,caltex,"North Avanceña","ILOILO CITY (Capital)",ILOILO
Jollibee,10.699494614050499,122.5539194737042,food,"flyover molo",Infante,"ILOILO CITY (Capital)",ILOILO
Jollibee,10.71010484894779,122.55599792276492,food,"near diversion 21 national highway",Bakhaw,"ILOILO CITY (Capital)",ILOILO
Jollibee,10.696651964347144,122.58250156935209,food,"guimars ferry terminal","San Jose (City Proper)","ILOILO CITY (Capital)",ILOILO
"JOLLIBEE MUZON BRANCH",14.8016032226559,121.03542261263935,food,"Tungkong Mangga, in front of Nolasco Market, Quirino Highway cor Tungkong Mangga, San Jose Del Monte, Bulacan",Muzon,"CITY OF SAN JOSE DEL MONTE",BULACAN
Greenwich,10.716521102153504,122.55129396862675,food,"sm city iloilo",Bolilao,"ILOILO CITY (Capital)",ILOILO
Greenwich,10.69857885614247,122.55435839930088,food,"beside jollibee near u.p iloilo.",Infante,"ILOILO CITY (Capital)",ILOILO
"Jollibee Sm City Bicutan",14.486911834245792,121.04389067290867,food,"SM City Bicutan Building A, Doña Soledad AvE","Don Bosco","CITY OF PARAÑAQUE","NCR, FOURTH DISTRICT"
Greenwich,10.712336011688176,122.56541848156171,food,"gaisano lapaz","Luna (La Paz)","ILOILO CITY (Capital)",ILOILO
Greenwich,10.754403023903674,122.53964513513512,food,"robinson pavia","Ungka II",PAVIA,ILOILO
Kfc,10.71567184287871,122.5507183483541,food,"sm city",Bolilao,"ILOILO CITY (Capital)",ILOILO
"McDonald's San Pedro",14.358913489947032," 121.0623784207688",food,"1320 (/g) national hyway Nueva San Pedro laguna",Landayan,"CITY OF SAN PEDRO",LAGUNA
"Burger King ",14.347660581593985,121.06587479708664,food,panda,Nueva,"CITY OF SAN PEDRO",LAGUNA
Jollibee,14.347210874887551,121.06651783277225,food,PILI,Nueva,"CITY OF SAN PEDRO",LAGUNA
Chowking,14.368358716100824,121.05142838042444,food,"old munisipyo",Poblacion,"CITY OF SAN PEDRO",LAGUNA
"McDonald's San Pedro Bayan","14.364658691478471,",121.05666405202439,food,"old munisipyo",Poblacion,"CITY OF SAN PEDRO",LAGUNA
